Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Crop_Yield,Soil_Quality,Acres_seeded
Barley,Loamy,6.5,10.24529327,80,14.51596518,70,60,50,2.193547323,60,68
Barley,Sandy,6.75,14.44900938,80,12.58904741,50,40,30,26.18884766,35,26
Soybean,Loamy,6.5,16.20707643,80,8.797682611,63,60,55,49.75254028,59.33333333,21
Corn,Peaty,5.5,16.43589493,80,9.335005281,66,49.5,35,39.44297681,25.08333333,38
Rice,Loamy,6.5,19.60842445,80,6.884036759,91,72,55,56.08326479,72.66666667,30
Corn,Loamy,6.5,22.20511408,77.79488592,11.59463123,84,66,50,61.5187322,66.66666667,40
Rice,Clay,6.25,16.85822366,80,10.00154703,78,60,44,14.70904586,53.08333333,1
Barley,Peaty,5.5,12.989429,80,16.93181855,55,45,35,14.90502915,22.5,5
Soybean,Sandy,6.75,17.85723929,80,8.646259861,45,40,33,51.58516512,34.41666667,11
Corn,Sandy,6.75,24.24928251,75.75071749,15.90565971,60,44,30,37.57590918,39.08333333,48
Barley,Loamy,6.5,12.26379201,80,8.802085334,70,60,50,23.63714442,60,55
Soybean,Peaty,5.5,12.43685613,80,7.62631847,49.5,45,38.5,11.74172982,22.16666667,33
Corn,Peaty,5.5,25.22075662,74.77924338,13.65359055,66,49.5,35,25.04158711,25.08333333,74
Rice,Clay,6.25,22.64354817,77.35645183,7.27768013,78,60,44,58.56746996,53.08333333,52
Barley,Peaty,5.5,21.02433377,78.97566623,9.697475957,55,45,35,45.55972329,22.5,84
Soybean,Peaty,5.5,25.53428825,74.46571175,6.654434532,49.5,45,38.5,22.25437115,22.16666667,13
Corn,Sandy,6.75,13.75406049,80,7.214526218,60,44,30,22.86761382,39.08333333,100
Barley,Clay,6.25,20.65415926,79.34584074,14.02610599,60,50,40,66.43720087,43.75,4
Corn,Sandy,6.75,13.90432639,80,10.28212837,60,44,30,26.26270604,39.08333333,29
Rice,Loamy,6.5,19.56877341,80,12.03954524,91,72,55,49.59998382,72.66666667,6
Soybean,Sandy,6.75,18.85212322,80,8.469487794,45,40,33,50.04276287,34.41666667,67
Rice,Peaty,5.5,26.49081576,73.50918424,9.450896545,71.5,54,38.5,58.88796359,27.33333333,46
Soybean,Peaty,5.5,12.87466612,80,5.889586772,49.5,45,38.5,18.29681176,22.16666667,58
Corn,Clay,6.25,26.24907644,73.75092356,10.2305606,72,55,40,31.53099272,48.70833333,31
Rice,Sandy,6.75,27.1572651,72.8427349,12.77700084,65,48,33,45.89168249,42.58333333,26
Barley,Peaty,5.5,14.06888869,80,14.92006214,55,45,35,19.85862297,22.5,20
Rice,Peaty,5.5,22.38871271,77.61128729,8.445824031,71.5,54,38.5,42.81848884,27.33333333,27
Barley,Clay,6.25,19.641578,80,7.03924185,60,50,40,62.50566517,43.75,6
Soybean,Loamy,6.5,20.44694657,79.55305343,12.39878913,63,60,55,83.81191311,59.33333333,12
Corn,Sandy,6.75,24.09710604,75.90289396,9.508879208,60,44,30,36.74369346,39.08333333,86
Rice,Sandy,6.75,21.39977249,78.60022751,9.936733678,65,48,33,36.72283846,42.58333333,6
Barley,Sandy,6.75,24.47412813,75.52587187,11.34656336,50,40,30,29.38910271,35,4
Soybean,Peaty,5.5,21.6197139,78.3802861,13.41429128,49.5,45,38.5,46.58068129,22.16666667,62
Corn,Loamy,6.5,15.91807564,80,12.80121678,84,66,50,56.12043471,66.66666667,83
Corn,Loamy,6.5,15.92493779,80,11.40587667,84,66,50,48.73542058,66.66666667,9
Rice,Clay,6.25,23.25060807,76.74939193,6.685581223,78,60,44,77.64097479,53.08333333,43
Barley,Loamy,6.5,24.35431044,75.64568956,12.61895692,70,60,50,48.58475489,60,30
Soybean,Sandy,6.75,21.79433107,78.20566893,11.76895275,45,40,33,44.0808354,34.41666667,7
Barley,Clay,6.25,17.24649559,80,11.25249318,60,50,40,53.09023566,43.75,43
Soybean,Peaty,5.5,16.17957233,80,5.913267368,49.5,45,38.5,29.82922014,22.16666667,54
Corn,Sandy,6.75,17.34019271,80,11.52358992,60,44,30,46.65159186,39.08333333,11
Barley,Loamy,6.5,18.49077053,80,7.564739093,70,60,50,76.06882563,60,27
Soybean,Clay,6.25,14.75092474,80,11.56276216,54,50,44,34.77936055,43.16666667,95
Rice,Loamy,6.5,18.01043713,80,6.298490241,91,72,55,33.71968389,72.66666667,28
Barley,Loamy,6.5,25.94695689,74.05304311,9.59227896,70,60,50,34.18460607,60,25
Corn,Loamy,6.5,13.34390006,80,8.984190987,84,66,50,27.34288981,66.66666667,49
Barley,Loamy,6.5,26.70838781,73.29161219,12.03028749,70,60,50,33.08714632,60,86
Soybean,Sandy,6.75,23.08882463,76.91117537,9.761289796,45,40,33,31.25331118,34.41666667,50
Corn,Sandy,6.75,19.3656661,80,9.526386641,60,44,30,57.80783453,39.08333333,87
Barley,Clay,6.25,17.44940307,80,11.86511252,60,50,40,56.77763545,43.75,5
Soybean,Clay,6.25,25.87720322,74.12279678,5.725762272,54,50,44,30.02901683,43.16666667,14
Corn,Clay,6.25,21.83992897,78.16007103,11.92263891,72,55,40,52.63852126,48.70833333,8
Soybean,Peaty,5.5,20.38601259,79.61398741,9.285865525,49.5,45,38.5,54.8708506,22.16666667,4
Corn,Peaty,5.5,18.00423472,80,16.79907343,66,49.5,35,50.80218644,25.08333333,27
Corn,Loamy,6.5,24.62881225,75.37118775,9.979797563,84,66,50,57.50585226,66.66666667,97
Barley,Sandy,6.75,13.98586936,80,8.690102165,50,40,30,24.06977894,35,8
Soybean,Loamy,6.5,17.36571096,80,11.4435853,63,60,55,67.38967879,59.33333333,83
Corn,Clay,6.25,24.21691726,75.78308274,5.679705768,72,55,40,43.69779322,48.70833333,91
Barley,Sandy,6.75,15.69558451,80,3.904529331,50,40,30,31.91138378,35,67
Soybean,Sandy,6.75,21.21504565,78.78495435,5.431663248,45,40,33,41.15735637,34.41666667,3
Corn,Loamy,6.5,24.22741142,75.77258858,10.12455472,84,66,50,54.86268516,66.66666667,95
Rice,Peaty,5.5,16.16913726,80,6.523801699,71.5,54,38.5,8.546541749,27.33333333,39
Soybean,Clay,6.25,22.22020719,77.77979281,8.31093016,54,50,44,50.59142237,43.16666667,79
Corn,Sandy,6.75,19.69796934,80,8.494375596,60,44,30,52.19225664,39.08333333,28
Rice,Clay,6.25,21.29058808,78.70941192,12.19045634,78,60,44,49.23833343,53.08333333,25
Barley,Sandy,6.75,13.01586596,80,16.06586846,50,40,30,15.80950695,35,96
Soybean,Sandy,6.75,21.12089742,78.87910258,8.644489815,45,40,33,61.07239858,34.41666667,2
Corn,Sandy,6.75,19.30127293,80,12.34001099,60,44,30,65.61597952,39.08333333,34
Barley,Sandy,6.75,25.51138263,74.48861737,10.67321926,50,40,30,28.4612983,35,90
Soybean,Sandy,6.75,18.29689375,80,14.1940929,45,40,33,42.03183016,34.41666667,71
Corn,Peaty,5.5,18.61792699,80,10.17370241,66,49.5,35,55.07622326,25.08333333,12
Barley,Loamy,6.5,18.77549298,80,11.464267,70,60,50,79.66252853,60,46
Corn,Clay,6.25,17.08294199,80,12.1970456,72,55,40,56.36998293,48.70833333,72
Barley,Loamy,6.5,14.04352947,80,7.590078254,70,60,50,39.06904248,60,28
Soybean,Peaty,5.5,23.63131969,76.36868031,9.398010571,49.5,45,38.5,27.33919595,22.16666667,53
Corn,Peaty,5.5,12.5717225,80,9.586271822,66,49.5,35,15.0457162,25.08333333,32
Soybean,Sandy,6.75,29.15964045,70.84035955,9.009591894,45,40,33,4.373224344,34.41666667,15
Rice,Clay,6.25,28.62781093,71.37218907,9.927333855,78,60,44,49.63208456,53.08333333,20
Barley,Loamy,6.5,22.20162333,77.79837667,9.414015128,70,60,50,78.47236816,60,45
Soybean,Clay,6.25,17.02938195,80,4.71784206,54,50,44,56.89595549,43.16666667,95
Rice,Loamy,6.5,17.35518006,80,12.76826266,91,72,55,25.60713926,72.66666667,46
Barley,Sandy,6.75,16.76189833,80,8.325152821,50,40,30,43.2287593,35,56
Barley,Clay,6.25,16.46829811,80,7.569833101,60,50,40,45.10504849,43.75,27
Soybean,Clay,6.25,12.11123386,80,7.654778583,54,50,44,13.31655466,43.16666667,15
Corn,Loamy,6.5,22.80227126,77.19772874,11.41017018,84,66,50,75.04434359,66.66666667,42
Barley,Peaty,5.5,22.51211849,77.48788151,10.56729867,55,45,35,38.1372912,22.5,49
Soybean,Clay,6.25,25.67765953,74.32234047,10.38762666,54,50,44,28.66893947,43.16666667,26
Corn,Loamy,6.5,18.21411233,80,8.635019765,84,66,50,87.84849149,66.66666667,95
Rice,Loamy,6.5,21.64267432,78.35732568,8.983861348,91,72,55,75.28112668,72.66666667,8
Barley,Clay,6.25,10.82356473,80,12.3485401,60,50,40,5.222400983,43.75,13
Soybean,Peaty,5.5,19.45430708,80,9.008243985,49.5,45,38.5,62.70309005,22.16666667,65
Corn,Loamy,6.5,23.37714156,76.62285844,10.02545902,84,66,50,75.10865617,66.66666667,38
Barley,Loamy,6.5,18.97492757,80,9.643253046,70,60,50,70.12299098,60,16
Soybean,Peaty,5.5,14.43358525,80,11.31514791,49.5,45,38.5,25.85147754,22.16666667,28
Corn,Sandy,6.75,12.17834837,80,11.19849696,60,44,30,12.95645997,39.08333333,33
Rice,Peaty,5.5,22.77382895,77.22617105,5.07617538,71.5,54,38.5,49.23325445,27.33333333,27
Barley,Sandy,6.75,17.12895515,80,9.504537631,50,40,30,46.87787762,35,52
Soybean,Peaty,5.5,17.80960634,80,15.72574962,49.5,45,38.5,36.10247702,22.16666667,5
Rice,Clay,6.25,18.12668845,80,13.37441892,78,60,44,29.32237782,53.08333333,12
Barley,Sandy,6.75,20.88047744,79.11952256,12.03981962,50,40,30,47.5240069,35,97
Corn,Clay,6.25,10.27475135,80,11.33019754,72,55,40,1.849114913,48.70833333,11
Soybean,Sandy,6.75,25.97341472,74.02658528,15.53493607,45,40,33,24.8587659,34.41666667,13
Corn,Clay,6.25,11.19246301,80,10.60430963,72,55,40,9.614132864,48.70833333,75
Rice,Loamy,6.5,15.40004494,80,10.76379842,91,72,55,4.070470756,72.66666667,9
Barley,Peaty,5.5,26.72397673,73.27602327,11.24466664,55,45,35,19.03462868,22.5,87
Soybean,Loamy,6.5,20.96946258,79.03053742,7.963472367,63,60,55,83.41430182,59.33333333,55
Rice,Clay,6.25,23.12811448,76.87188552,7.731154747,78,60,44,88.44751536,53.08333333,34
Barley,Peaty,5.5,26.65940152,73.34059848,9.228638043,55,45,35,16.09210652,22.5,86
Soybean,Clay,6.25,16.12937516,80,8.550357728,54,50,44,38.36591016,43.16666667,43
Corn,Loamy,6.5,26.52548226,73.47451774,11.64966305,84,66,50,31.80623504,66.66666667,16
Rice,Loamy,6.5,27.45001855,72.54998145,13.99043352,91,72,55,74.50779457,72.66666667,33
Barley,Sandy,6.75,22.10288039,77.89711961,11.50560381,50,40,30,50.65859706,35,23
Barley,Loamy,6.5,29.71210594,70.28789406,9.53032898,70,60,50,2.63252766,60,15
Corn,Peaty,5.5,21.70632973,78.29367027,7.36029782,66,49.5,35,50.90156981,25.08333333,67
Rice,Sandy,6.75,18.93608744,80,10.2225265,65,48,33,27.69527285,42.58333333,7
Soybean,Clay,6.25,16.088333,80,9.259243491,54,50,44,42.57786409,43.16666667,40
Corn,Sandy,6.75,23.47683243,76.52316757,14.91074444,60,44,30,40.09630154,39.08333333,82
Soybean,Peaty,5.5,23.50805965,76.49194035,13.8415671,49.5,45,38.5,30.50518045,22.16666667,52
Corn,Peaty,5.5,22.69556033,77.30443967,16.36302766,66,49.5,35,45.69867356,25.08333333,30
Rice,Sandy,6.75,23.09070971,76.90929029,9.881677693,65,48,33,62.93336415,42.58333333,44
Barley,Loamy,6.5,13.71468724,80,11.18185603,70,60,50,30.5469637,60,92
Soybean,Clay,6.25,18.28057125,80,11.81268896,54,50,44,61.14835394,43.16666667,61
Corn,Peaty,5.5,17.30879507,80,12.1430285,66,49.5,35,53.60599798,25.08333333,38
Soybean,Peaty,5.5,21.40113204,78.59886796,8.077692807,49.5,45,38.5,42.04656653,22.16666667,57
Corn,Clay,6.25,22.96116599,77.03883401,7.573308186,72,55,40,53.55784102,48.70833333,43
Rice,Peaty,5.5,24.47861366,75.52138634,13.14359141,71.5,54,38.5,68.96646969,27.33333333,36
Barley,Sandy,6.75,25.47462911,74.52537089,8.064985258,50,40,30,27.48389284,35,92
Soybean,Sandy,6.75,15.7715459,80,12.255763,45,40,33,32.58673354,34.41666667,88
Corn,Clay,6.25,18.40892822,80,9.79456937,72,55,40,70.82051409,48.70833333,54
Rice,Clay,6.25,20.35585398,79.64414602,13.3261753,78,60,44,46.13885277,53.08333333,46
Barley,Sandy,6.75,20.73826779,79.26173221,4.229437987,50,40,30,53.42039275,35,99
Soybean,Peaty,5.5,20.88664182,79.11335818,13.69163502,49.5,45,38.5,49.65152263,22.16666667,6
Corn,Loamy,6.5,20.8064648,79.1935352,2.739347586,84,66,50,87.17158119,66.66666667,67
Rice,Loamy,6.5,28.35838303,71.64161697,11.89970977,91,72,55,62.39366347,72.66666667,4
Barley,Loamy,6.5,28.07413605,71.92586395,12.98407945,70,60,50,16.62015799,60,32
Soybean,Sandy,6.75,20.11806764,79.88193236,10.11367731,45,40,33,54.13621938,34.41666667,93
Corn,Sandy,6.75,12.14057287,80,8.109942239,60,44,30,15.49267848,39.08333333,85
Barley,Peaty,5.5,16.18861317,80,8.750611794,55,45,35,33.45034684,22.5,18
Soybean,Clay,6.25,27.08291912,72.91708088,10.91017713,54,50,44,20.24265863,43.16666667,52
Corn,Loamy,6.5,20.76517299,79.23482701,11.8078637,84,66,50,92.42170598,66.66666667,88
Rice,Clay,6.25,29.79745278,70.20254722,10.74928362,78,60,44,44.93554899,53.08333333,27
Barley,Clay,6.25,24.98236605,75.01763395,9.465313766,60,50,40,38.17450287,43.75,83
Barley,Peaty,5.5,12.13487786,80,12.01098402,55,45,35,11.92465682,22.5,78
Rice,Loamy,6.5,17.54701989,80,6.439278161,91,72,55,23.1639401,72.66666667,26
Barley,Clay,6.25,15.89102,80,11.47252488,60,50,40,41.44397064,43.75,53
Soybean,Peaty,5.5,14.98645073,80,11.75866802,49.5,45,38.5,28.6150605,22.16666667,73
Corn,Clay,6.25,13.95774553,80,12.74357192,72,55,40,33.8173928,48.70833333,37
Barley,Loamy,6.5,16.4839656,80,11.04841083,70,60,50,61.14690474,60,42
Soybean,Loamy,6.5,18.77659709,80,10.64652205,63,60,55,71.30022526,59.33333333,72
Corn,Peaty,5.5,12.19152747,80,9.720730482,66,49.5,35,14.98555557,25.08333333,52
Barley,Peaty,5.5,18.14245387,80,11.19328657,55,45,35,55.73498597,22.5,88
Rice,Clay,6.25,22.14961923,77.85038077,3.305203815,78,60,44,57.15528236,53.08333333,41
Soybean,Sandy,6.75,24.19924723,75.80075277,15.30798337,45,40,33,33.09851793,34.41666667,92
Barley,Sandy,6.75,23.73638042,76.26361958,4.623345847,50,40,30,38.82265515,35,37
Corn,Sandy,6.75,19.5478795,80,10.91986363,60,44,30,72.68167519,39.08333333,40
Rice,Sandy,6.75,22.65111979,77.34888021,12.32232704,65,48,33,54.99717221,42.58333333,13
Barley,Peaty,5.5,15.89695533,80,12.11036363,55,45,35,32.20530805,22.5,8
Soybean,Loamy,6.5,26.45326757,73.54673243,14.59277544,63,60,55,35.80951995,59.33333333,11
Corn,Clay,6.25,13.49507292,80,14.20829293,72,55,40,29.63061586,48.70833333,35
Rice,Sandy,6.75,16.82370361,80,9.579184725,65,48,33,11.48795039,42.58333333,40
Soybean,Loamy,6.5,17.80045212,80,11.3149551,63,60,55,53.29485502,59.33333333,45
Corn,Loamy,6.5,17.32056303,80,13.12108272,84,66,50,77.14194576,66.66666667,5
Barley,Sandy,6.75,28.50144321,71.49855679,10.16558197,50,40,30,8.672598456,35,40
Soybean,Clay,6.25,22.39295555,77.60704445,11.85286244,54,50,44,51.72876652,43.16666667,83
Corn,Loamy,6.5,10.21778854,80,11.96272226,84,66,50,2.411035337,66.66666667,59
Barley,Clay,6.25,23.95583587,76.04416413,7.52472108,60,50,40,50.49907536,43.75,73
Soybean,Loamy,6.5,23.18781675,76.81218325,11.6869823,63,60,55,70.12742439,59.33333333,64
Corn,Loamy,6.5,25.64955711,74.35044289,14.44147646,84,66,50,45.89103585,66.66666667,71
Rice,Loamy,6.5,29.41871386,70.58128614,11.69421435,91,72,55,60.20571264,72.66666667,33
Barley,Sandy,6.75,25.56076959,74.43923041,8.176021385,50,40,30,22.99003398,35,62
Soybean,Peaty,5.5,19.02553594,80,9.507858436,49.5,45,38.5,42.07680328,22.16666667,26
Rice,Peaty,5.5,20.68971184,79.31028816,7.137026843,71.5,54,38.5,44.62992573,27.33333333,25
Barley,Sandy,6.75,18.27344858,80,13.85894461,50,40,30,42.22672761,35,95
Soybean,Clay,6.25,24.7729492,75.2270508,7.456797311,54,50,44,34.87720232,43.16666667,95
Corn,Sandy,6.75,17.3314262,80,10.0610322,60,44,30,35.54293587,39.08333333,46
Barley,Clay,6.25,25.43659189,74.56340811,11.12723474,60,50,40,29.83872146,43.75,16
Soybean,Loamy,6.5,22.76334484,77.23665516,13.45940464,63,60,55,67.56667937,59.33333333,92
Corn,Loamy,6.5,20.98362117,79.01637883,13.75148419,84,66,50,77.93838796,66.66666667,100
Barley,Peaty,5.5,14.45150999,80,11.13458867,55,45,35,24.26980492,22.5,37
Soybean,Sandy,6.75,19.09554773,80,9.273279523,45,40,33,58.56364305,34.41666667,65
Corn,Peaty,5.5,14.73901247,80,12.16897609,66,49.5,35,25.67828073,25.08333333,56
Barley,Sandy,6.75,11.00797171,80,5.425705374,50,40,30,6.405707679,35,55
Soybean,Clay,6.25,18.11241667,80,16.02396432,54,50,44,55.37575289,43.16666667,57
Barley,Peaty,5.5,17.15375088,80,7.776384896,55,45,35,37.05179084,22.5,93
Corn,Peaty,5.5,11.86372977,80,10.58497088,66,49.5,35,10.25576831,25.08333333,66
Barley,Peaty,5.5,14.55589675,80,9.144730513,55,45,35,27.09042883,22.5,62
Soybean,Sandy,6.75,10.04618314,80,10.65530349,45,40,33,0.265754995,34.41666667,66
Corn,Peaty,5.5,16.05752131,80,13.30299593,66,49.5,35,30.37079078,25.08333333,40
Barley,Loamy,6.5,14.25868765,80,11.56743947,70,60,50,39.94919759,60,6
Soybean,Loamy,6.5,15.37045201,80,8.667100723,63,60,55,53.6184349,59.33333333,10
Corn,Sandy,6.75,15.05313992,80,8.717804492,60,44,30,34.7460321,39.08333333,15
Barley,Clay,6.25,12.96289401,80,13.72180784,60,50,40,20.76369921,43.75,35
Soybean,Loamy,6.5,13.4583489,80,9.972934358,63,60,55,31.80790937,59.33333333,41
Corn,Clay,6.25,20.12246463,79.87753537,9.74146703,72,55,40,71.5022714,48.70833333,70
Rice,Sandy,6.75,17.79805976,80,9.203453564,65,48,33,19.73669268,42.58333333,34
Barley,Loamy,6.5,16.28596342,80,8.056454642,70,60,50,58.24088757,60,36
Barley,Sandy,6.75,11.09496197,80,9.956788825,50,40,30,6.028980783,35,74
Soybean,Peaty,5.5,10.4675194,80,10.02109539,49.5,45,38.5,2.53472419,22.16666667,32
Corn,Sandy,6.75,19.56533884,80,8.155909531,60,44,30,63.94511373,39.08333333,86
Barley,Clay,6.25,15.92543132,80,11.9745331,60,50,40,53.58310486,43.75,13
Soybean,Peaty,5.5,20.52846867,79.47153133,16.06318887,49.5,45,38.5,53.45719985,22.16666667,61
Rice,Loamy,6.5,16.12666952,80,9.877285502,91,72,55,10.25363929,72.66666667,50
Soybean,Sandy,6.75,15.94799938,80,8.232960882,45,40,33,26.89114758,34.41666667,47
Corn,Sandy,6.75,16.59385016,80,6.019711906,60,44,30,30.95538304,39.08333333,18
Barley,Sandy,6.75,13.55080054,80,9.275249632,50,40,30,19.11033094,35,4
Corn,Peaty,5.5,13.43878101,80,13.68292099,66,49.5,35,18.92641773,25.08333333,29
Soybean,Peaty,5.5,16.1392798,80,10.78296079,49.5,45,38.5,30.34102485,22.16666667,79
Corn,Loamy,6.5,11.2773149,80,5.571632185,84,66,50,12.31567114,66.66666667,90
Barley,Loamy,6.5,14.09815713,80,12.42298266,70,60,50,35.74266808,60,94
Soybean,Loamy,6.5,15.35462515,80,11.97328273,63,60,55,43.31755775,59.33333333,77
Barley,Loamy,6.5,12.56808498,80,10.32860894,70,60,50,27.9332291,60,86
Barley,Loamy,6.5,18.61864075,80,11.27612674,70,60,50,66.29643641,60,99
Corn,Loamy,6.5,20.34706882,79.65293118,5.640699821,84,66,50,87.83307081,66.66666667,29
Barley,Clay,6.25,27.59666396,72.40333604,10.59456578,60,50,40,13.55924534,43.75,23
Corn,Peaty,5.5,15.88519502,80,13.27293716,66,49.5,35,34.8163884,25.08333333,46
Soybean,Sandy,6.75,17.75806804,80,10.05198235,45,40,33,50.20117104,34.41666667,52
Corn,Loamy,6.5,16.67956891,80,13.25886487,84,66,50,69.06578422,66.66666667,15
Barley,Loamy,6.5,20.89350641,79.10649359,16.79544561,70,60,50,86.83282947,60,86
Soybean,Sandy,6.75,12.18893428,80,8.952440991,45,40,33,9.578593847,34.41666667,93
Rice,Peaty,5.5,15.14036662,80,12.9972418,71.5,54,38.5,0.836361659,27.33333333,41
Soybean,Sandy,6.75,12.35578567,80,11.24142854,45,40,33,13.36361152,34.41666667,3
Corn,Clay,6.25,10.50574268,80,5.40561872,72,55,40,4.162327279,48.70833333,2
Rice,Sandy,6.75,19.5356109,80,5.576461748,65,48,33,26.87633795,42.58333333,28
Barley,Clay,6.25,15.61705108,80,7.834364395,60,50,40,38.0668137,43.75,24
Soybean,Clay,6.25,23.01065609,76.98934391,15.78180018,54,50,44,46.90636881,43.16666667,27
Barley,Peaty,5.5,19.30364933,80,4.201260035,55,45,35,52.06563187,22.5,47
Soybean,Clay,6.25,22.76565602,77.23434398,15.31843517,54,50,44,47.93062601,43.16666667,48
Barley,Loamy,6.5,16.51056529,80,9.998130469,70,60,50,50.40751808,60,6
Corn,Peaty,5.5,10.29868691,80,11.63968446,66,49.5,35,1.432927577,25.08333333,55
Rice,Clay,6.25,20.68988306,79.31011694,13.36990759,78,60,44,53.28309143,53.08333333,2
Barley,Clay,6.25,14.76354677,80,7.166203473,60,50,40,30.19917155,43.75,13
Soybean,Clay,6.25,10.88670247,80,10.47107445,54,50,44,5.105131754,43.16666667,93
Corn,Clay,6.25,18.65402414,80,10.05164479,72,55,40,68.49506887,48.70833333,36
Barley,Loamy,6.5,16.7665322,80,14.93117014,70,60,50,54.82679269,60,7
Barley,Sandy,6.75,19.16080942,80,10.23539168,50,40,30,55.02655965,35,64
Corn,Loamy,6.5,13.60433083,80,8.220384622,84,66,50,38.04608678,66.66666667,12
Soybean,Sandy,6.75,17.20026755,80,9.555921886,45,40,33,41.23160445,34.41666667,25
Soybean,Loamy,6.5,16.47922528,80,9.554862225,63,60,55,43.23378452,59.33333333,50
Corn,Loamy,6.5,23.0965699,76.9034301,9.445990929,84,66,50,72.60235663,66.66666667,39
Barley,Loamy,6.5,17.07543329,80,17.13167288,70,60,50,65.70738211,60,96
Rice,Sandy,6.75,19.17408579,80,9.29318127,65,48,33,30.31854914,42.58333333,16
Barley,Sandy,6.75,17.53413456,80,11.8848133,50,40,30,43.29974925,35,87
Soybean,Loamy,6.5,12.76188267,80,11.27673735,63,60,55,21.55385993,59.33333333,19
Corn,Clay,6.25,15.97682788,80,15.24755455,72,55,40,45.92536813,48.70833333,73
Barley,Peaty,5.5,10.48475812,80,10.76258241,55,45,35,3.040499255,22.5,49
Soybean,Peaty,5.5,18.2618669,80,11.43136951,49.5,45,38.5,43.50842859,22.16666667,48
Barley,Sandy,6.75,15.24486637,80,8.704051828,50,40,30,30.81331243,35,24
Soybean,Peaty,5.5,13.61559788,80,10.32804105,49.5,45,38.5,20.97245367,22.16666667,81
Rice,Sandy,6.75,18.71969192,80,6.30871662,65,48,33,27.82384743,42.58333333,58
Corn,Sandy,6.75,25.2770787,74.7229213,11.11782775,60,44,30,22.03325164,39.08333333,51
Barley,Sandy,6.75,11.35911577,80,9.518762554,50,40,30,6.932000706,35,80
Soybean,Clay,6.25,11.46699167,80,10.97260419,54,50,44,10.82231211,43.16666667,39
Corn,Loamy,6.5,15.09755738,80,9.107975365,84,66,50,49.80568756,66.66666667,8
Barley,Peaty,5.5,12.96755487,80,12.9558677,55,45,35,14.90890887,22.5,58
Corn,Clay,6.25,10.56902724,80,10.30982192,72,55,40,4.753564676,48.70833333,68
Rice,Clay,6.25,15.31689434,80,9.555488786,78,60,44,2.78626186,53.08333333,51
Barley,Peaty,5.5,21.28221487,78.71778513,9.372703357,55,45,35,39.58159717,22.5,90
Soybean,Loamy,6.5,16.88574919,80,10.44415641,63,60,55,58.85098773,59.33333333,66
Barley,Peaty,5.5,17.36879557,80,6.267969954,55,45,35,39.24089979,22.5,1
Corn,Clay,6.25,13.01147199,80,10.6297236,72,55,40,23.38103624,48.70833333,4
Barley,Sandy,6.75,17.57318162,80,7.430571733,50,40,30,45.72595129,35,15
Soybean,Sandy,6.75,23.95214461,76.04785539,10.93852627,45,40,33,36.76122798,34.41666667,8
Barley,Loamy,6.5,14.9218285,80,8.858868955,70,60,50,51.89969356,60,2
Corn,Loamy,6.5,13.63850745,80,7.701734726,84,66,50,40.61479196,66.66666667,51
Barley,Clay,6.25,15.03512936,80,8.68880054,60,50,40,40.2661467,43.75,23
Corn,Sandy,6.75,14.81061722,80,4.624414779,60,44,30,27.69291588,39.08333333,48
Barley,Clay,6.25,11.14178349,80,13.92852765,60,50,40,7.733893194,43.75,65
Soybean,Clay,6.25,12.17611767,80,10.52362734,54,50,44,12.73101414,43.16666667,70
Corn,Sandy,6.75,13.91280642,80,7.656232843,60,44,30,27.6111407,39.08333333,89
Barley,Sandy,6.75,11.96426646,80,8.671722901,50,40,30,10.75748532,35,1
Soybean,Loamy,6.5,15.72168669,80,9.974805948,63,60,55,53.40300932,59.33333333,15
Barley,Peaty,5.5,14.96920385,80,11.59624718,55,45,35,24.90795838,22.5,99
Barley,Peaty,5.5,10.73487198,80,9.96563411,55,45,35,3.822394978,22.5,6
Soybean,Loamy,6.5,20.09462295,79.90537705,15.44101925,63,60,55,86.05977527,59.33333333,50
Soybean,Sandy,6.75,11.97497642,80,7.493531281,45,40,33,9.929827134,34.41666667,38
Rice,Loamy,6.5,17.35528135,80,11.38961343,91,72,55,20.91702957,72.66666667,44
Barley,Peaty,5.5,13.00600497,80,8.407793937,55,45,35,15.90667266,22.5,39
Soybean,Sandy,6.75,13.24878333,80,13.89767327,45,40,33,17.2228016,34.41666667,45
Corn,Peaty,5.5,17.68607799,80,9.93615886,66,49.5,35,46.02060605,25.08333333,59
Soybean,Loamy,6.5,16.22985534,80,10.4734823,63,60,55,45.14374942,59.33333333,88
Corn,Peaty,5.5,12.9441195,80,12.73886386,66,49.5,35,18.28764523,25.08333333,86
Barley,Clay,6.25,16.46018989,80,8.36520076,60,50,40,42.60517779,43.75,13
Soybean,Clay,6.25,19.68400242,80,7.321881054,54,50,44,70.23218588,43.16666667,92
Corn,Clay,6.25,15.7159984,80,8.478511557,72,55,40,40.14255966,48.70833333,3
Corn,Sandy,6.75,12.14943792,80,13.67390465,60,44,30,14.39773698,39.08333333,6
Barley,Loamy,6.5,10.58325698,80,11.7357776,70,60,50,5.455182602,60,27
Soybean,Sandy,6.75,11.97788467,80,7.468205328,45,40,33,12.41011205,34.41666667,54
Corn,Peaty,5.5,11.81334241,80,16.10127823,66,49.5,35,11.63122734,25.08333333,7
Soybean,Clay,6.25,11.25789015,80,9.08668727,54,50,44,8.125332714,43.16666667,33
Corn,Peaty,5.5,11.54343078,80,12.66788436,66,49.5,35,9.734851888,25.08333333,18
